accession	description
"GCA_017426305.1"	"ASM1742630v1 assembly for Selenomonas sp."
"GCA_017426325.1"	"ASM1742632v1 assembly for Lachnospiraceae bacterium"
"GCA_017426445.1"	"ASM1742644v1 assembly for Erysipelotrichaceae bacterium"
"GCA_017426455.1"	"ASM1742645v1 assembly for Lachnospiraceae bacterium"
"GCA_017428745.1"	"ASM1742874v1 assembly for Clostridia bacterium"
"GCA_017428765.1"	"ASM1742876v1 assembly for Erysipelotrichaceae bacterium"
"GCA_017428805.1"	"ASM1742880v1 assembly for Prevotella sp."
"GCA_017428815.1"	"ASM1742881v1 assembly for Oscillospiraceae bacterium"
"GCA_017428825.1"	"ASM1742882v1 assembly for Bacteroidales bacterium"
"GCA_017428905.1"	"ASM1742890v1 assembly for Bacteroidaceae bacterium"
"GCA_017428925.1"	"ASM1742892v1 assembly for Prevotella sp."
"GCA_017428945.1"	"ASM1742894v1 assembly for Bacteroidales bacterium"
"GCA_017428965.1"	"ASM1742896v1 assembly for Muribaculaceae bacterium"
"GCA_017428985.1"	"ASM1742898v1 assembly for Prevotella sp."
"GCA_017433665.1"	"ASM1743366v1 assembly for Flexilinea sp."
"GCA_017433675.1"	"ASM1743367v1 assembly for Clostridia bacterium"
"GCA_017433765.1"	"ASM1743376v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017433845.1"	"ASM1743384v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017433855.1"	"ASM1743385v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017433885.1"	"ASM1743388v1 assembly for Solobacterium sp."
"GCA_017433905.1"	"ASM1743390v1 assembly for Ruminococcus sp."
"GCA_017434005.1"	"ASM1743400v1 assembly for Mogibacterium sp."
"GCA_017434025.1"	"ASM1743402v1 assembly for Mogibacterium sp."
"GCA_017434045.1"	"ASM1743404v1 assembly for Eggerthellaceae bacterium"
"GCA_017434055.1"	"ASM1743405v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017434085.1"	"ASM1743408v1 assembly for Clostridia bacterium"
"GCA_017434105.1"	"ASM1743410v1 assembly for Atopobiaceae bacterium"
"GCA_017434125.1"	"ASM1743412v1 assembly for Clostridia bacterium"
"GCA_017434165.1"	"ASM1743416v1 assembly for Lachnospiraceae bacterium"
"GCA_017434185.1"	"ASM1743418v1 assembly for Coriobacteriales bacterium"
"GCA_017434205.1"	"ASM1743420v1 assembly for Ruminococcus sp."
"GCA_017434225.1"	"ASM1743422v1 assembly for Lachnospiraceae bacterium"
"GCA_017434245.1"	"ASM1743424v1 assembly for Lentisphaeria bacterium"
"GCA_017434255.1"	"ASM1743425v1 assembly for Mogibacterium sp."
"GCA_017434285.1"	"ASM1743428v1 assembly for Clostridia bacterium"
"GCA_017434295.1"	"ASM1743429v1 assembly for Clostridia bacterium"
"GCA_017434325.1"	"ASM1743432v1 assembly for Mogibacterium sp."
"GCA_017434345.1"	"ASM1743434v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017434355.1"	"ASM1743435v1 assembly for Lachnospiraceae bacterium"
"GCA_017434385.1"	"ASM1743438v1 assembly for Eubacterium sp."
"GCA_017434505.1"	"ASM1743450v1 assembly for Thermoguttaceae bacterium"
"GCA_017434525.1"	"ASM1743452v1 assembly for Methanobrevibacter sp."
"GCA_017434545.1"	"ASM1743454v1 assembly for Oscillospiraceae bacterium"
"GCA_017434555.1"	"ASM1743455v1 assembly for Methanobrevibacter sp."
"GCA_017434585.1"	"ASM1743458v1 assembly for Mogibacterium sp."
"GCA_017437445.1"	"ASM1743744v1 assembly for Bacteroidales bacterium"
"GCA_017437465.1"	"ASM1743746v1 assembly for Lachnospiraceae bacterium"
"GCA_017437485.1"	"ASM1743748v1 assembly for Clostridia bacterium"
"GCA_017437505.1"	"ASM1743750v1 assembly for Deltaproteobacteria bacterium"
"GCA_017437515.1"	"ASM1743751v1 assembly for Spirochaetales bacterium"
"GCA_017437565.1"	"ASM1743756v1 assembly for Bacillota bacterium"
"GCA_017437585.1"	"ASM1743758v1 assembly for Synergistaceae bacterium"
"GCA_017437605.1"	"ASM1743760v1 assembly for Ottowia sp."
"GCA_017437645.1"	"ASM1743764v1 assembly for Muribaculaceae bacterium"
"GCA_017437655.1"	"ASM1743765v1 assembly for Atopobiaceae bacterium"
"GCA_017437705.1"	"ASM1743770v1 assembly for Lachnospiraceae bacterium"
"GCA_017437715.1"	"ASM1743771v1 assembly for Bacteroidales bacterium"
"GCA_017437745.1"	"ASM1743774v1 assembly for Bacillota bacterium"
"GCA_017437785.1"	"ASM1743778v1 assembly for Lachnospiraceae bacterium"
"GCA_017453485.1"	"ASM1745348v1 assembly for Alphaproteobacteria bacterium"
"GCA_017453585.1"	"ASM1745358v1 assembly for Candidatus Methanomethylophilaceae archaeon"
"GCA_017453605.1"	"ASM1745360v1 assembly for Clostridia bacterium"
"GCA_017453615.1"	"ASM1745361v1 assembly for Lachnospiraceae bacterium"
"GCA_017453645.1"	"ASM1745364v1 assembly for Synergistaceae bacterium"
"GCA_017453775.1"	"ASM1745377v1 assembly for Bacteroidales bacterium"
"GCA_017453805.1"	"ASM1745380v1 assembly for Alphaproteobacteria bacterium"
"GCA_017453825.1"	"ASM1745382v1 assembly for Bacillota bacterium"
"GCA_017453925.1"	"ASM1745392v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017453945.1"	"ASM1745394v1 assembly for Ruminiclostridium sp."
"GCA_017453965.1"	"ASM1745396v1 assembly for Lachnospiraceae bacterium"
"GCA_017458525.1"	"ASM1745852v1 assembly for Clostridia bacterium"
"GCA_017458545.1"	"ASM1745854v1 assembly for Synergistaceae bacterium"
"GCA_017458565.1"	"ASM1745856v1 assembly for Oscillospiraceae bacterium"
"GCA_017458585.1"	"ASM1745858v1 assembly for Bacteroidaceae bacterium"
"GCA_017458605.1"	"ASM1745860v1 assembly for Bacteroidaceae bacterium"
"GCA_017458885.1"	"ASM1745888v1 assembly for Oscillospiraceae bacterium"
"GCA_017458945.1"	"ASM1745894v1 assembly for Clostridia bacterium"
"GCA_017458965.1"	"ASM1745896v1 assembly for Kiritimatiellia bacterium"
"GCA_017458975.1"	"ASM1745897v1 assembly for Eubacterium sp."
"GCA_017459005.1"	"ASM1745900v1 assembly for Bacteroidales bacterium"
"GCA_017459025.1"	"ASM1745902v1 assembly for Lachnospiraceae bacterium"
"GCA_017459165.1"	"ASM1745916v1 assembly for Prevotella sp."
"GCA_017459185.1"	"ASM1745918v1 assembly for Lachnospiraceae bacterium"
"GCA_017459205.1"	"ASM1745920v1 assembly for Neisseriaceae bacterium"
"GCA_017459225.1"	"ASM1745922v1 assembly for Kiritimatiellia bacterium"
"GCA_017459245.1"	"ASM1745924v1 assembly for Bacteroidaceae bacterium"
"GCA_017459255.1"	"ASM1745925v1 assembly for Lachnospiraceae bacterium"
"GCA_017459285.1"	"ASM1745928v1 assembly for Prevotella sp."
"GCA_017459305.1"	"ASM1745930v1 assembly for Bacteroidaceae bacterium"
"GCA_017468275.1"	"ASM1746827v1 assembly for Alistipes sp."
"GCA_017468345.1"	"ASM1746834v1 assembly for Clostridia bacterium"
"GCA_017468365.1"	"ASM1746836v1 assembly for Oscillospiraceae bacterium"
"GCA_017468385.1"	"ASM1746838v1 assembly for Clostridia bacterium"
"GCA_017468395.1"	"ASM1746839v1 assembly for Lachnospiraceae bacterium"
"GCA_017468425.1"	"ASM1746842v1 assembly for Clostridia bacterium"
"GCA_017468435.1"	"ASM1746843v1 assembly for Bacteroidales bacterium"
"GCA_017468465.1"	"ASM1746846v1 assembly for Clostridia bacterium"
"GCA_017468475.1"	"ASM1746847v1 assembly for Bacteroidaceae bacterium"
"GCA_017468525.1"	"ASM1746852v1 assembly for Paludibacteraceae bacterium"
"GCA_017468545.1"	"ASM1746854v1 assembly for Bacteroidales bacterium"
"GCA_017468565.1"	"ASM1746856v1 assembly for Elusimicrobiaceae bacterium"
"GCA_017468585.1"	"ASM1746858v1 assembly for Pseudomonadota bacterium"
"GCA_017468595.1"	"ASM1746859v1 assembly for Bacteroidales bacterium"
"GCA_017468645.1"	"ASM1746864v1 assembly for Oscillospiraceae bacterium"
"GCA_017468665.1"	"ASM1746866v1 assembly for Oscillospiraceae bacterium"
"GCA_017468685.1"	"ASM1746868v1 assembly for Methanobrevibacter sp."
"GCA_017468705.1"	"ASM1746870v1 assembly for Clostridia bacterium"
"GCA_017468725.1"	"ASM1746872v1 assembly for Butyrivibrio sp."
"GCA_017468745.1"	"ASM1746874v1 assembly for Treponema sp."
"GCA_017468765.1"	"ASM1746876v1 assembly for Bacteroidaceae bacterium"
"GCA_017468785.1"	"ASM1746878v1 assembly for Succinivibrio sp."
"GCA_017468805.1"	"ASM1746880v1 assembly for Bacteroidales bacterium"
"GCA_017468815.1"	"ASM1746881v1 assembly for Bacteroidaceae bacterium"
"GCA_017468845.1"	"ASM1746884v1 assembly for Solobacterium sp."
"GCA_017468865.1"	"ASM1746886v1 assembly for Oscillospiraceae bacterium"
"GCA_017468885.1"	"ASM1746888v1 assembly for Bacteroidales bacterium"
"GCA_017468935.1"	"ASM1746893v1 assembly for Candidatus Methanomethylophilaceae archaeon"
"GCA_017468965.1"	"ASM1746896v1 assembly for Clostridia bacterium"
"GCA_017469045.1"	"ASM1746904v1 assembly for Lachnospiraceae bacterium"
"GCA_017469065.1"	"ASM1746906v1 assembly for Clostridia bacterium"
"GCA_017469085.1"	"ASM1746908v1 assembly for Clostridia bacterium"
"GCA_017469105.1"	"ASM1746910v1 assembly for Eubacterium sp."
"GCA_017469115.1"	"ASM1746911v1 assembly for Oscillospiraceae bacterium"
"GCA_017469225.1"	"ASM1746922v1 assembly for Clostridia bacterium"
"GCA_017469245.1"	"ASM1746924v1 assembly for Clostridia bacterium"
"GCA_017469335.1"	"ASM1746933v1 assembly for Succinivibrio sp."
"GCA_017469355.1"	"ASM1746935v1 assembly for Solobacterium sp."
"GCA_017469385.1"	"ASM1746938v1 assembly for Clostridia bacterium"
"GCA_017469405.1"	"ASM1746940v1 assembly for Lachnospiraceae bacterium"
"GCA_017469425.1"	"ASM1746942v1 assembly for Bacteroidales bacterium"
"GCA_017469445.1"	"ASM1746944v1 assembly for Clostridia bacterium"
"GCA_017469465.1"	"ASM1746946v1 assembly for Clostridia bacterium"
"GCA_017469475.1"	"ASM1746947v1 assembly for Oscillibacter sp."
"GCA_017469505.1"	"ASM1746950v1 assembly for Alphaproteobacteria bacterium"
"GCA_017473305.1"	"ASM1747330v1 assembly for Lachnospiraceae bacterium"
"GCA_017473345.1"	"ASM1747334v1 assembly for Clostridia bacterium"
"GCA_017473365.1"	"ASM1747336v1 assembly for Oscillospiraceae bacterium"
"GCA_017473505.1"	"ASM1747350v1 assembly for Clostridia bacterium"
"GCA_017473525.1"	"ASM1747352v1 assembly for Oscillospiraceae bacterium"
"GCA_017473555.1"	"ASM1747355v1 assembly for Ruminococcus sp."
"GCA_017473605.1"	"ASM1747360v1 assembly for Clostridia bacterium"
"GCA_017473615.1"	"ASM1747361v1 assembly for Muribaculaceae bacterium"
"GCA_017473625.1"	"ASM1747362v1 assembly for Clostridia bacterium"
"GCA_017473725.1"	"ASM1747372v1 assembly for Clostridia bacterium"
"GCA_017473745.1"	"ASM1747374v1 assembly for Oscillospiraceae bacterium"
"GCA_017473755.1"	"ASM1747375v1 assembly for Oscillospiraceae bacterium"
"GCA_017473845.1"	"ASM1747384v1 assembly for Treponema sp."
"GCA_017473865.1"	"ASM1747386v1 assembly for Clostridia bacterium"
"GCA_017473955.1"	"ASM1747395v1 assembly for Ruminococcus sp."
"GCA_017473985.1"	"ASM1747398v1 assembly for Lachnospiraceae bacterium"
"GCA_017474005.1"	"ASM1747400v1 assembly for Alphaproteobacteria bacterium"
"GCA_017474085.1"	"ASM1747408v1 assembly for Clostridia bacterium"
"GCA_017474105.1"	"ASM1747410v1 assembly for Clostridia bacterium"
"GCA_017474125.1"	"ASM1747412v1 assembly for Clostridia bacterium"
"GCA_017474145.1"	"ASM1747414v1 assembly for Alistipes sp."
"GCA_017474265.1"	"ASM1747426v1 assembly for Bacteroidales bacterium"
"GCA_017474315.1"	"ASM1747431v1 assembly for Clostridia bacterium"
"GCA_017474345.1"	"ASM1747434v1 assembly for Peptococcaceae bacterium"
"GCA_017474355.1"	"ASM1747435v1 assembly for Treponema sp."
"GCA_017474385.1"	"ASM1747438v1 assembly for Afipia sp."
"GCA_017474425.1"	"ASM1747442v1 assembly for Ruminococcus sp."
"GCA_017474445.1"	"ASM1747444v1 assembly for Aerococcus sp."
"GCA_017474455.1"	"ASM1747445v1 assembly for Lachnospiraceae bacterium"
"GCA_017474485.1"	"ASM1747448v1 assembly for Prevotella sp."
"GCA_017474505.1"	"ASM1747450v1 assembly for Bacillota bacterium"
"GCA_017474515.1"	"ASM1747451v1 assembly for Prevotella sp."
"GCA_017474545.1"	"ASM1747454v1 assembly for Bacteroidaceae bacterium"
"GCA_017474565.1"	"ASM1747456v1 assembly for Muribaculaceae bacterium"
"GCA_017474575.1"	"ASM1747457v1 assembly for Campylobacter sp."
"GCA_017474585.1"	"ASM1747458v1 assembly for Leuconostoc sp."
"GCA_017474625.1"	"ASM1747462v1 assembly for Paludibacteraceae bacterium"
"GCA_017474645.1"	"ASM1747464v1 assembly for Sphingobium sp."
"GCA_017474655.1"	"ASM1747465v1 assembly for Paludibacteraceae bacterium"
"GCA_017474685.1"	"ASM1747468v1 assembly for Sphingopyxis sp."
"GCA_017474695.1"	"ASM1747469v1 assembly for bacterium"
"GCA_017474705.1"	"ASM1747470v1 assembly for Bacillota bacterium"
"GCA_017474745.1"	"ASM1747474v1 assembly for Fibrobacter sp."
"GCA_017474765.1"	"ASM1747476v1 assembly for Salinivirgaceae bacterium"
"GCA_017474785.1"	"ASM1747478v1 assembly for Fibrobacter sp."
"GCA_017474805.1"	"ASM1747480v1 assembly for Fibrobacter sp."
"GCA_017474865.1"	"ASM1747486v1 assembly for Oscillospiraceae bacterium"
"GCA_017474885.1"	"ASM1747488v1 assembly for Fibrobacter sp."
"GCA_017474925.1"	"ASM1747492v1 assembly for Prevotella sp."
"GCA_017474965.1"	"ASM1747496v1 assembly for Bacteroidaceae bacterium"
"GCA_017474985.1"	"ASM1747498v1 assembly for Paludibacteraceae bacterium"
"GCA_017475005.1"	"ASM1747500v1 assembly for Prevotella sp."
"GCA_017475025.1"	"ASM1747502v1 assembly for Prevotella sp."
"GCA_017480455.1"	"ASM1748045v1 assembly for Bacteroidales bacterium"
"GCA_017480485.1"	"ASM1748048v1 assembly for Ruminococcus sp."
"GCA_017480495.1"	"ASM1748049v1 assembly for Eubacterium sp."
"GCA_017480625.1"	"ASM1748062v1 assembly for Ruminococcus sp."
"GCA_017480645.1"	"ASM1748064v1 assembly for Bacteroidaceae bacterium"
"GCA_017480665.1"	"ASM1748066v1 assembly for Bacillota bacterium"
"GCA_017480675.1"	"ASM1748067v1 assembly for Ruminococcus sp."
"GCA_017480685.1"	"ASM1748068v1 assembly for Bacteroidaceae bacterium"
"GCA_017480725.1"	"ASM1748072v1 assembly for Treponema sp."
"GCA_017480745.1"	"ASM1748074v1 assembly for Alphaproteobacteria bacterium"
"GCA_017480785.1"	"ASM1748078v1 assembly for Bacteroidales bacterium"
"GCA_017480795.1"	"ASM1748079v1 assembly for Succinivibrionaceae bacterium"
"GCA_017480825.1"	"ASM1748082v1 assembly for Alphaproteobacteria bacterium"
"GCA_017480845.1"	"ASM1748084v1 assembly for Acidaminococcaceae bacterium"
"GCA_017480865.1"	"ASM1748086v1 assembly for Ruminococcus sp."
"GCA_017480885.1"	"ASM1748088v1 assembly for Synergistaceae bacterium"
"GCA_017480905.1"	"ASM1748090v1 assembly for Clostridia bacterium"
"GCA_017480925.1"	"ASM1748092v1 assembly for Selenomonadales bacterium"
"GCA_017480935.1"	"ASM1748093v1 assembly for Schwartzia sp. (in: firmicutes)"
"GCA_017480965.1"	"ASM1748096v1 assembly for Alphaproteobacteria bacterium"
"GCA_017501805.1"	"ASM1750180v1 assembly for Oscillospiraceae bacterium"
"GCA_017508225.1"	"ASM1750822v1 assembly for Bacteroidaceae bacterium"
"GCA_017508525.1"	"ASM1750852v1 assembly for Bacteroidales bacterium"
"GCA_017508635.1"	"ASM1750863v1 assembly for Desulfovibrio sp."
"GCA_017508665.1"	"ASM1750866v1 assembly for Clostridia bacterium"
"GCA_017508685.1"	"ASM1750868v1 assembly for Bacteroidaceae bacterium"
"GCA_017508725.1"	"ASM1750872v1 assembly for Clostridia bacterium"
"GCA_017508765.1"	"ASM1750876v1 assembly for Bacteroidaceae bacterium"
"GCA_017508775.1"	"ASM1750877v1 assembly for Oscillospiraceae bacterium"
"GCA_017508805.1"	"ASM1750880v1 assembly for Prevotella sp."
"GCA_017508845.1"	"ASM1750884v1 assembly for Neisseriaceae bacterium"
"GCA_017508865.1"	"ASM1750886v1 assembly for Lachnospiraceae bacterium"
"GCA_017508875.1"	"ASM1750887v1 assembly for Clostridia bacterium"
"GCA_017508895.1"	"ASM1750889v1 assembly for Bacteroidales bacterium"
"GCA_017508925.1"	"ASM1750892v1 assembly for Bacteroidales bacterium"
"GCA_017509365.1"	"ASM1750936v1 assembly for Clostridia bacterium"
"GCA_017509375.1"	"ASM1750937v1 assembly for Bacteroidales bacterium"
"GCA_017509385.1"	"ASM1750938v1 assembly for Prevotella sp."
"GCA_017509425.1"	"ASM1750942v1 assembly for Clostridiales bacterium"
"GCA_017509445.1"	"ASM1750944v1 assembly for Bacteroidota bacterium"
"GCA_017509465.1"	"ASM1750946v1 assembly for Bacteroidaceae bacterium"
"GCA_017523005.1"	"ASM1752300v1 assembly for Clostridia bacterium"
"GCA_017523025.1"	"ASM1752302v1 assembly for Oscillospiraceae bacterium"
"GCA_017523055.1"	"ASM1752305v1 assembly for Clostridia bacterium"
"GCA_017523085.1"	"ASM1752308v1 assembly for Tidjanibacter sp."
"GCA_017523525.1"	"ASM1752352v1 assembly for Bacteroidales bacterium"
"GCA_017523535.1"	"ASM1752353v1 assembly for Selenomonadaceae bacterium"
"GCA_017523605.1"	"ASM1752360v1 assembly for Bacillota bacterium"
"GCA_017523725.1"	"ASM1752372v1 assembly for Bacteroidales bacterium"
"GCA_017523785.1"	"ASM1752378v1 assembly for Lachnospiraceae bacterium"
"GCA_017523825.1"	"ASM1752382v1 assembly for Bacteroidales bacterium"
"GCA_017523865.1"	"ASM1752386v1 assembly for Clostridia bacterium"
"GCA_017537925.1"	"ASM1753792v1 assembly for Synergistes sp."
"GCA_017537965.1"	"ASM1753796v1 assembly for Bacteroidales bacterium"
"GCA_017537985.1"	"ASM1753798v1 assembly for Oscillospiraceae bacterium"
"GCA_017538045.1"	"ASM1753804v1 assembly for Muribaculaceae bacterium"
"GCA_017538145.1"	"ASM1753814v1 assembly for Fibrobacter sp."
"GCA_017538155.1"	"ASM1753815v1 assembly for Lachnospiraceae bacterium"
"GCA_017538185.1"	"ASM1753818v1 assembly for Fibrobacter sp."
"GCA_017538195.1"	"ASM1753819v1 assembly for Prevotella sp."
"GCA_017538225.1"	"ASM1753822v1 assembly for Verrucomicrobiota bacterium"
"GCA_017538245.1"	"ASM1753824v1 assembly for Methanobrevibacter sp."
"GCA_017538255.1"	"ASM1753825v1 assembly for Clostridia bacterium"
"GCA_017538315.1"	"ASM1753831v1 assembly for Spirochaetia bacterium"
"GCA_017538345.1"	"ASM1753834v1 assembly for Clostridia bacterium"
"GCA_017538365.1"	"ASM1753836v1 assembly for bacterium"
"GCA_017538385.1"	"ASM1753838v1 assembly for Lachnospiraceae bacterium"
"GCA_017544045.1"	"ASM1754404v1 assembly for Spirochaetales bacterium"
"GCA_017544065.1"	"ASM1754406v1 assembly for Bacteroidales bacterium"
"GCA_017547005.1"	"ASM1754700v1 assembly for Clostridia bacterium"
"GCA_017547025.1"	"ASM1754702v1 assembly for Clostridia bacterium"
"GCA_017558255.1"	"ASM1755825v1 assembly for Bacteroidaceae bacterium"
"GCA_017558285.1"	"ASM1755828v1 assembly for Bacteroidales bacterium"
"GCA_017558305.1"	"ASM1755830v1 assembly for Lachnospiraceae bacterium"
"GCA_017558325.1"	"ASM1755832v1 assembly for Akkermansia sp."
"GCA_017558345.1"	"ASM1755834v1 assembly for Paludibacteraceae bacterium"
"GCA_017558355.1"	"ASM1755835v1 assembly for Bacteroidales bacterium"
"GCA_017558365.1"	"ASM1755836v1 assembly for Clostridia bacterium"
"GCA_017558395.1"	"ASM1755839v1 assembly for Clostridia bacterium"
"GCA_017558425.1"	"ASM1755842v1 assembly for Clostridia bacterium"
"GCA_017558775.1"	"ASM1755877v1 assembly for Bacteroidales bacterium"
"GCA_017558805.1"	"ASM1755880v1 assembly for Rikenellaceae bacterium"
"GCA_017558825.1"	"ASM1755882v1 assembly for Clostridia bacterium"
"GCA_017558845.1"	"ASM1755884v1 assembly for Oscillospiraceae bacterium"
"GCA_017558865.1"	"ASM1755886v1 assembly for Lachnospiraceae bacterium"
"GCA_017558885.1"	"ASM1755888v1 assembly for Clostridia bacterium"
"GCA_017561305.1"	"ASM1756130v1 assembly for Erysipelotrichaceae bacterium"
"GCA_017561325.1"	"ASM1756132v1 assembly for Rikenellaceae bacterium"
"GCA_017561425.1"	"ASM1756142v1 assembly for Clostridia bacterium"
"GCA_017561435.1"	"ASM1756143v1 assembly for Bacteroidales bacterium"
"GCA_017561465.1"	"ASM1756146v1 assembly for Clostridia bacterium"
"GCA_017561485.1"	"ASM1756148v1 assembly for Clostridia bacterium"
"GCA_017561495.1"	"ASM1756149v1 assembly for Desulfovibrionaceae bacterium"
"GCA_017561525.1"	"ASM1756152v1 assembly for Clostridia bacterium"
"GCA_017561545.1"	"ASM1756154v1 assembly for Desulfovibrio sp."
"GCA_017561565.1"	"ASM1756156v1 assembly for Eubacterium sp."
"GCA_017561575.1"	"ASM1756157v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017561605.1"	"ASM1756160v1 assembly for Solobacterium sp."
"GCA_017561615.1"	"ASM1756161v1 assembly for Erysipelotrichaceae bacterium"
"GCA_017561645.1"	"ASM1756164v1 assembly for Oscillospiraceae bacterium"
"GCA_017561665.1"	"ASM1756166v1 assembly for Bacteroidales bacterium"
"GCA_017561675.1"	"ASM1756167v1 assembly for Eggerthellaceae bacterium"
"GCA_017561705.1"	"ASM1756170v1 assembly for Treponema sp."
"GCA_017561715.1"	"ASM1756171v1 assembly for Clostridiales bacterium"
"GCA_017561735.1"	"ASM1756173v1 assembly for Prevotella sp."
"GCA_017561765.1"	"ASM1756176v1 assembly for Bacteroidales bacterium"
